id,spec,stratum,section,field,text,obligation,syntax,meaning,paper2,heuristic_syntax,heuristic_meaning,heuristic_paper2,heuristic_agree
138,tcf-v2-string,field-desc,TC String Format,IsServiceSpecific,1 bit 1 true 0 false This field must always have the value of 1 .,obligation,S1,M0,A,S1,M0,A,1
139,tcf-v2-string,field-desc,TC String Format,SpecialFeatureOptIns,12 bits One bit for each Special Feature: 1 Opted in 0 Not opted in The TCF Policies designates certain Features as “special” which means a CMP must afford the user a means to opt in to their use.,obligation,S1,M1,D,S0,M1,D,0
140,tcf-v2-string,field-desc,TC String Format,PurposesLITransparency,Bits 2 to 5 are required to be set to 0 .,obligation,S1,M0,A,S1,M0,A,1
141,tcf-v2-string,field-desc,TC String Format,IsRangeEncoding,Encoding logic should choose the encoding scheme that results in the smaller output size for a given set.,recommendation,S1,M0,B,S0,M1,D,0
142,tcf-v2-string,field-desc,TC String Format,IsRangeEncoding,Encoding logic should encode with the encoding scheme that results in the smaller output size for a given set.,recommendation,S1,M0,B,S0,M1,D,0
143,tcf-v2-string,field-desc,TC String Format,BitField,"If a user exercises their “Right To Object” to a vendor’s processing based on a legitimate interest, then that vendor’s bit must be set to 0 .",obligation,S1,M1,D,S0,M1,D,0
144,tcf-v2-string,field-desc,TC String Format,Publisher Restrictions Section,The content of this section is optional EXCEPT for NumPubRestrictions.,permission,S1,M0,A,S1,M0,A,1
145,tcf-v2-string,field-desc,TC String Format,NumPubRestrictions,Value is required even if it is 0,obligation,S1,M0,A,S1,M0,B,0
146,tcf-v2-string,field-desc,TC String Format,RestrictionType,2 bits Enum 0 Purpose Flatly Not Allowed by Publisher (regardless of Vendor declarations) 1 Require Consent (if Vendor has declared the Purpose IDs legal basis as Legitimate Interest and flexible) 2 Require Legitimate Interest (if Vendor has declared the Purpose IDs legal basis as Consent and flexible) 3 UNDEFINED (not used) Vendors must always respect a 0 (Not Allowed) regardless of whether or not they have not declared that Purpose to be “flexible”.,obligation,S0,M1,D,S1,M1,A,0
147,tcf-v2-string,field-desc,TC String Format,RestrictionType,"Eg. if a vendor has Purpose 2 declared as Legitimate Interest but also declares that Purpose as flexible and this field is set to 1 , they must then check for the “consent” signal in the VendorConsents section to make a determination on whether they have the legal basis for processing user personal data under that Purpose.",obligation,S0,M1,D,S1,M1,A,0
148,tcf-v2-string,field-desc,TC String Format,RestrictionType,When a vendor's Purpose registration is not flexible they should interpret this value in the following ways: If this value is 1 and vendor is registered under Legitimate Interest for that Purpose then the vendor should not process for that Purpose.,recommendation,S0,M1,D,S1,M1,A,0
149,tcf-v2-string,field-desc,TC String Format,RestrictionType,If this value is 2 and vendor is registered under Consent for that Purpose then the vendor should not process for that Purpose.,recommendation,S0,M1,D,S0,M1,D,1
150,tcf-v2-string,field-desc,TC String Format,RestrictionType,If this value is 1 or 2 and the vendor is not registered for the Purpose then the vendor should not process for that Purpose.,recommendation,S0,M1,D,S0,M1,D,1
151,tcf-v2-string,field-desc,TC String Format,RestrictionType,Note: Purpose 1 is always required to be registered as a consent purpose and can not be flexible per Policies .,obligation,S0,M1,D,S1,M1,A,0
152,tcf-v2-string,prose,Publisher Purposes Transparency and Consent,,Publishers may need to establish transparency and consent for a set of personal data processing purposes for their own use.,permission,S0,M1,D,S0,M1,D,1
153,tcf-v2-string,prose,Publisher Purposes Transparency and Consent,,"For example, a publisher that wants to set a frequency-capping first-party cookie should request user consent for Purpose 1 ""Store and/or access information on a device"" in jurisdictions where it is required.",obligation,S0,M1,D,S0,M1,D,1
154,tcf-v2-string,prose,Publisher Purposes Transparency and Consent,,Vendors should not rely on the _Publisher TC_ segment unless they're in agreement with the publisher to do so.,recommendation,S0,M1,D,S0,M1,D,1
155,tcf-v2-string,prose,The Global Vendor List,,The information stored in the GVL is used for determining what legal disclosures must be made to the user.,obligation,S0,M1,X,S0,M0,X,0
156,tcf-v2-string,prose,Where can I access the Global Vendor List?,,"Previous versions of the GVL may only be used in cases when the current version cannot be downloaded (such as when operating in-app while offline), or for change control management.",obligation,S0,M0,C,S0,M1,D,0
157,tcf-v2-string,prose,CMPs using the GVL,,CMPs must use the latest available version of the GVL whenever the interface is surfaced to the user to provide transparency or request consent.,obligation,S0,M0,C,S0,M1,D,0
158,tcf-v2-string,prose,CMPs using the GVL,,"In some cases, due to caching requirements and low connectivity environments, such as for mobile in-app experiences, it may not be possible to use the latest version of the GVL:",permission,S0,M0,C,S0,M1,D,0
159,tcf-v2-string,prose,CMPs using the GVL,,"For a delay caused by caching requirements, the penultimate version of the GVL may be considered the latest available version.",permission,S0,M0,C,S0,M1,D,0
160,tcf-v2-string,prose,CMPs using the GVL,,"For a delay caused by a lack of connectivity, the last cached version of the GVL may be used but must be updated as soon as connectivity is restored.",obligation,S0,M0,C,S0,M1,D,0
161,tcf-v2-string,prose,CMPs using the GVL,,"To determine whether the interface should be resurfaced to a user, the CMP must compare the latest version of the GVL with the archived version of the GVL identified in the TC String (assuming they are different).",obligation,S0,M0,C,S0,M1,D,0
162,tcf-v2-string,prose,CMPs using the GVL,,The CMP is not required to resurface the interface to the user if the versions are different.,obligation,S0,M0,C,S0,M1,D,0
163,tcf-v2-string,prose,Vendors using the GVL,,Vendors must use the version of the GVL encoded in the TC String received to:,obligation,S0,M0,C,S0,M1,D,0
164,tcf-v2-string,prose,Accessing and caching the Global Vendor List,,All requests for the GVL must now be server-side.,obligation,S0,M0,C,S0,M0,C,1
165,tcf-v2-string,prose,Accessing and caching the Global Vendor List,,Server-side applications must cache these resources in the same way that a browser would - the file must be requested and cached using the specified ```max-age``` value in the header.,obligation,S0,M0,C,S0,M0,C,1
166,tcf-v2-string,prose,Accessing and caching the Global Vendor List,,Resources must not be cached for a period other than ```max-age```.,obligation,S0,M0,C,S0,M0,C,1
167,tcf-v2-string,prose,Accessing and caching the Global Vendor List,,Previous versions of the GVL must be cached for at least the period specified by the cache-control headers and may be cached indefinitely as they are static resources.,obligation,S0,M0,C,S0,M0,C,1
168,tcf-v2-string,prose,CMPs accessing and caching the GVL,,Client-side CMP applications must not load GVL resources directly from vendor-list.consensu.org - instead they must be loaded and hosted by a CMP’s server-side application and then passed to the client-side CMP application.,obligation,S0,M0,C,S0,M0,C,1
169,tcf-v2-string,prose,CMPs accessing and caching the GVL,,"As stated above, CMP server-side applications must cache these resources in the same way that a browser would.",obligation,S0,M0,C,S0,M1,D,0
170,tcf-v2-string,prose,CMPs accessing and caching the GVL,,"For example, if the ```max-age``` value in the header is one week, the server-side application must do the following:",obligation,S0,M0,C,S0,M0,C,1
171,tcf-v2-string,prose,CMPs accessing and caching the GVL,,"To prevent client-side applications from repeatedly downloading files, CMPs should set cache-control headers on HTTP responses sent to client-side requests for their self-hosted GVL resources.",recommendation,S0,M0,C,S0,M0,C,1
172,tcf-v2-string,prose,Vendors accessing and caching the GVL,,Vendor requests for GVL resources must be loaded and cached by the server-side application.,obligation,S0,M0,C,S0,M1,D,0
173,tcf-v2-string,prose,Vendors accessing and caching the GVL,,"As stated above, vendor server-side applications must cache these resources in the same way that a browser would.",obligation,S0,M0,C,S0,M1,D,0
174,tcf-v2-string,prose,Using a compressed version of the Global Vendor List,,"In order to control the bandwidth used by requests for the GVL file, vendors and CMPs must request a compressed version of the GVL.",obligation,S0,M0,C,S0,M0,C,1
175,tcf-v2-string,prose,Using a compressed version of the Global Vendor List,,Server-side requests are another matter because server software may not decompress the response automatically.,permission,S0,M0,C,S0,M1,D,0
176,tcf-v2-string,prose,Global Vendor List and TCF Policy Updates,,"When a change occurs in the TCF Policies, the MO may indicate that changes are of such a nature as to require re-establishing Legal Bases.",permission,S0,M1,C,S0,M1,D,0
177,tcf-v2-string,prose,Global Vendor List and TCF Policy Updates,,"These policy changes happen infrequently, but when they do, a CMP is required to discard the user’s current TC String and resurface the user interface to provide new disclosures, capture new consent, and encode a new TC String without migrating any old values over from the old one - under the timeline provided by the MO for the transition.",obligation,S0,M1,C,S0,M1,D,0
178,tcf-v2-string,prose,Global Vendor List and TCF Policy Updates,,"To determine if TCF Policies have changed, CMPs shall compare the _TcfPolicyVersion_ encoded in a TC String with the _TcfPolicyVersion_ property in the latest Global Vendor List published by the Managing Organisation.",obligation,S0,M1,C,S0,M0,C,0
179,tcf-v2-string,prose,Vendor Fields relating to the Planet49 ruling,,The fields below provide Vendors with a method to disclose the length of time any vendor-specific information may be stored on a device and other summary information about device storage.,permission,S0,M1,X,S0,M1,D,0
180,tcf-v2-string,prose,Vendor Fields relating to the Planet49 ruling,,"In its Planet49 judgment (available here), the Court of Justice of the European Union (CJEU) ruled that the requirements for informed consent under Article 5(3) of the ePrivacy Directive include the disclosure of “the duration of the operation of cookies and whether or not third parties may have access to those cookies” (para.",permission,S0,M1,X,S0,M0,X,0
181,tcf-v2-string,prose,Vendor Fields relating to the Planet49 ruling,,81).[^1] The CJEU clarified that the information provided must enable the user to determine the consequences of any consent and be sufficiently detailed so as to enable the user to understand the functioning of the cookies employed.,obligation,S0,M1,X,S0,M0,X,0
182,tcf-v2-string,prose,Vendor Fields relating to the Planet49 ruling,,This includes the requirement to provide information about the duration of the cookies and whether or not third parties may have access to those cookies.,permission,S0,M1,X,S0,M0,X,0
183,tcf-v2-string,field-desc,Vendor Fields relating to the Planet49 ruling,cookieMaxAgeSeconds,Note: this only includes what is declared when the storage is initially set and does not consider duration extensions should storage be refreshed.,recommendation,S0,M1,X,S0,M1,D,0
184,tcf-v2-string,field-desc,Vendor Fields relating to the Planet49 ruling,cookieRefresh,boolean True indicates the vendor may refresh cookie(s).,permission,S0,M1,X,S0,M1,D,0
185,tcf-v2-string,prose,Vendor Fields relating to the Planet49 ruling,,"Examples of non-cookie storage and access may be localStorage, indexDB, mobile ad IDs, etc.",permission,S0,M1,X,S0,M0,X,0
186,tcf-v2-string,field-desc,Vendor Fields relating to the Planet49 ruling,deviceStorageDisclosureUrl,"string This required field is a secure URL to a vendor-hosted resource that adheres to the structure, content and serving described by the Vendor Device Storage & Operational Disclosures specification .",obligation,S0,M1,C,S1,M0,B,0
187,tcf-v2-string,prose,Global CMP List Specification,,Consent strings or TC Strings for CMPs with a `deletedDate` set must be considered invalid after that date/time and must be discarded immediately and not passed downstream.,obligation,S1,M1,C,S0,M0,C,0
188,tcf-v2-string,prose,Caching the Global CMP List,,All requests for the Global CMP List must honour the cache-control headers and must not cache the resource with different settings.,obligation,S0,M0,C,S0,M0,C,1
189,tcf-v2-string,prose,Caching the Global CMP List,,Note: There may be a delay of up to the maximum cache interval in retrieving the latest version of the Global CMP List.,permission,S0,M0,C,S0,M0,C,1
190,tcf-v2-string,prose,Server-side caching of the GCL,,"As requests for a GCL file will not be in a browser context, GCL files must be cached explicitly server-side according to the cache-control headers.",obligation,S0,M0,C,S0,M0,C,1
191,tcf-v2-string,prose,Server-side caching of the GCL,,Application logic must only request one version of the GCL during the cache period specified in the cache-control header.,obligation,S0,M0,C,S0,M0,C,1
192,tcf-v2-string,prose,Server-side caching of the GCL,,"For example, if the caching period is one week, only one request for the current GCL file must be received per week.",obligation,S0,M0,C,S0,M1,D,0
193,tcf-v2-string,prose,Using a compressed version of the Global CMP List,,A compressed version of the GCL must be requested.,obligation,S0,M0,C,S0,M0,C,1
194,tcf-v2-string,prose,Example Global CMP List JSON Object,,"[^1]: Please note the difference of the legal and technical terms of art: The term “cookies” as used by the CJEU should be understood as a substitute for “storing information, or accessing information already stored, on the terminal equipment of an end user”, i.e. the activity covered by Article 5(3) of the ePrivacy Directive and Purpose 1 “Store and/or access information on a device” of the TCF.",recommendation,S0,M0,X,S0,M1,D,0
195,tcf-v2-string,prose,Example Global CMP List JSON Object,,"The ruling should therefore not be misunderstood as only applying to the more limited, technical concept of cookies as defined by the HTTP protocol specification.",recommendation,S0,M0,X,S0,M0,X,1
196,us-privacy,prose,Introduction,,"As the concern for consumer privacy grows, regional governance in the US may increase.",permission,S0,M0,X,S0,M0,X,1
197,us-privacy,prose,Introduction,,"If US privacy regulations apply, digital property owners (websites, apps, or other media platforms) are expected to provide consumer privacy signals to all parties that intend to exchange data on a given transaction (such as displaying an impression).",obligation,S0,M2,D,S0,M2,D,1
198,us-privacy,prose,Introduction,,Parties receiving the data are expected to act on it in accordance with any relevant governance.,obligation,S0,M1,D,S0,M1,D,1
199,us-privacy,prose,When should a US Privacy string be created?,,"When a sale of data may occur, for example on an impression opportunity, the string should be created.",recommendation,S0,M2,D,S0,M2,D,1
200,us-privacy,prose,How should a US Privacy String be used?,,For each digital transaction (such as displaying an impression) the digital property is expected to send the US Privacy String as a payload with each digital unit of merchandise (typically a single impression) to all parties who use personal data on their properties.,obligation,S0,M2,D,S0,M2,D,1
201,us-privacy,prose,US Privacy String Format,,"In situations where the digital property has determined that the consumer does not fall within a US Privacy jurisdiction (such as CCPA), the digital property may signal this with hyphens in the second, third, and fourth character positions in the following manner: “1---”.",permission,S1,M2,B,S1,M2,B,1
202,us-privacy,prose,US Privacy String Format,,The hyphen character may also be used to signal an unknown state in the second (Notice) and fourth (LSPA Covered Transaction) character positions.,permission,S1,M2,B,S1,M0,A,0
203,us-privacy,prose,US Privacy String Format,,NOTE: The third character position (Opt-Out Sale) cannot be unknown (must never include a hyphen) when CCPA applies.,obligation,S1,M2,B,S1,M0,A,0
204,us-privacy,prose,URL Parameters,,A URL-based service that requires US Privacy signals should accept a US Privacy String according to the following conditions and URL parameters:,recommendation,S3,M0,C,S3,M0,C,1
205,us-privacy,prose,URL Parameters,,The digital property creating the URL should ensure that the `us_privacy` parameter exists only once in the URL.,recommendation,S3,M0,C,S3,M0,C,1
206,openrtb-privacy,field-desc,3.2.3 - Object: Regs,gpp_sid,integer array Array of the section(s) of the string which should be applied for this transaction.,recommendation,S1,M2,B,S1,M2,B,1
207,openrtb-privacy,field-desc,3.2.3 - Object: Regs,gpp_sid,"Generally will contain one and only one value, but there are edge cases where more than one may apply.",permission,S1,M2,B,S1,M2,B,1
208,openrtb-privacy,field-desc,3.2.18 - Object: Device,dnt,"integer; recommended Standard “Do Not Track” flag as set in the header by the browser, where 0 = tracking is unrestricted, 1 = do not track.",recommendation,S1,M1,A,S1,M0,A,0
209,openrtb-privacy,field-desc,3.2.18 - Object: Device,lmt,"integer; recommended “Limit Ad Tracking” signal commercially endorsed (e.g., iOS, Android), where 0 = tracking is unrestricted, 1 = tracking must be limited per commercial guidelines.",obligation,S1,M1,A,S1,M0,A,0
210,openrtb-privacy,field-desc,3.2.18 - Object: Device,ifa,"string ID sanctioned for advertiser use in the clear (i.e., not hashed) Unless prior arrangements have been made between the buyer and the seller directly, the value in this field is expected to be an ID derived from a call to an advertising API provided by the device’s Operating System.",obligation,S1,M1,D,S1,M1,D,1
211,openrtb-privacy,prose,3.2.20 - Object: User,,The user `id` is an exchange artifact and may be subject to rotation or other privacy policies.,permission,S0,M0,X,S0,M0,X,1
212,openrtb-privacy,field-desc,3.2.20 - Object: User,id,"Unless prior arrangements have been made between the buyer and the seller directly, the value in this field is expected to be the exchange’s user ID from its cookie.",obligation,S0,M1,D,S0,M1,D,1
213,openrtb-privacy,field-desc,3.2.20 - Object: User,buyeruid,"Unless prior arrangements have been made between the buyer and the seller directly, the value in this field is expected to be derived from an ID sync. (see Appendix: Cookie Based ID Syncing)",obligation,S0,M1,D,S0,M1,D,1
214,openrtb-privacy,field-desc,3.2.20 - Object: User,customdata,string Optional feature to pass bidder data that was set in the exchange’s cookie.,permission,S0,M0,X,S0,M0,X,1
215,openrtb-privacy,field-desc,3.2.20 - Object: User,customdata,The string must be in base85 cookie safe characters and be in any format.,obligation,S1,M0,A,S1,M0,A,1
216,openrtb-privacy,field-desc,3.2.27 - Object: EID,inserter,"This may be the operational domain of the system, if that is different from the parent corporate domain, to facilitate WHOIS and reverse IP lookups to establish clear ownership of the delegate system.",permission,S0,M0,D,S0,M0,D,1
217,openrtb-privacy,field-desc,3.2.27 - Object: EID,inserter,This should be the same value as used to identify sellers in an ads.txt file if one exists.,recommendation,S3,M0,C,S3,M0,C,1
218,openrtb-privacy,field-desc,3.2.27 - Object: EID,matcher,"In some cases, this may be the same value as inserter.",permission,S0,M0,X,S0,M0,D,0
219,openrtb-privacy,field-desc,3.2.27 - Object: EID,matcher,"When blank, it is assumed that the `matcher` is equal to the `source` May be omitted when mm=0, 1, or 2.",permission,S1,M0,B,S1,M0,B,1
220,openrtb-privacy,field-desc,3.2.28 - Object: UID,atype,"It is highly recommended to set this, as many DSPs separate app-native IDs from browser-based IDs and require a type value for ID resolution.",recommendation,S1,M0,B,S1,M0,B,1
